dataset,task,wavelet_type,largest_scale,layers,moments,model,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,macro_f1_mean,macro_f1_std,weighted_f1_mean,weighted_f1_std,macro_precision_mean,macro_precision_std,macro_recall_mean,macro_recall_std,n_pca_mean
PEMS04,DAY,W2,4,1 2 3,1,LR,0.5477442134170263,0.00676050505407234,0.5528977161962909,0.0070678543279352225,0.5461990387421969,0.006842601251648799,0.542403386514938,0.006649733726889122,0.5451144452780039,0.007881973061937853,0.5528977161962909,0.0070678543279352225,53.0
PEMS04,DAY,W2,4,1 2 3,1,MLP,0.9289917614750882,0.00567428316414737,0.9295059629566207,0.005704288619828493,0.9298064131223052,0.005413730297518688,0.9290531345987324,0.005588528556110379,0.9306939642669988,0.004959368693094257,0.9295059629566207,0.005704288619828493,53.0
PEMS04,DAY,W2,4,1 2 3,1,SVC,0.5327579442918793,0.0074311560565251105,0.5375425239933534,0.007629675019467118,0.5337070206030756,0.007392503720343357,0.529668453743169,0.0072298487655211635,0.5335842346329717,0.00814473919133132,0.5375425239933534,0.007629675019467118,53.0
PEMS04,DAY,W2,4,1 2 3,1,XGB,0.8366418203216949,0.007726031306451907,0.838316674305043,0.007801539642292264,0.8370567239858797,0.007639187253573845,0.8364390668358841,0.007704185849911207,0.8376201211671169,0.007412043732030809,0.838316674305043,0.007801539642292264,53.0
PEMS04,HOUR,W2,4,1 2 3,1,LR,0.6842683405256963,0.00610493955713674,0.6840525534170332,0.005925672447988624,0.6841911305760668,0.005898328398719992,0.684813078358788,0.005891236234825932,0.6891050779399606,0.004442306125028728,0.6840525534170332,0.005925672447988624,53.0
PEMS04,HOUR,W2,4,1 2 3,1,MLP,0.8561004315417812,0.003590446822643436,0.8563014764338643,0.004061765011361477,0.8558178051523528,0.004006869662146646,0.8559895504795897,0.003633411384557117,0.8588086050181987,0.0037340650991055536,0.8563014764338643,0.004061765011361477,53.0
PEMS04,HOUR,W2,4,1 2 3,1,SVC,0.6754021184778345,0.008865180453820617,0.6750214876799974,0.008696684153477728,0.6756376952574374,0.008761983292691658,0.6762661351965609,0.008657374817852002,0.6819873168583093,0.005897001175157806,0.6750214876799974,0.008696684153477728,53.0
PEMS04,HOUR,W2,4,1 2 3,1,XGB,0.8070615927814829,0.0027673898922790977,0.8072661745734984,0.0038128830472273453,0.807614754579373,0.0034367736809508835,0.8078877632319219,0.002592472784898468,0.8103003484168717,0.0034450491288640956,0.8072661745734984,0.0038128830472273453,53.0
PEMS04,WEEK,W2,4,1 2 3,1,LR,0.47493134562573563,0.007528277954530237,0.4690834435122399,0.006519607615554265,0.46837889540656025,0.006256785220919929,0.4719092248641587,0.0072724860934170925,0.4713808688051043,0.006004202687951358,0.4690834435122399,0.006519607615554265,53.0
PEMS04,WEEK,W2,4,1 2 3,1,MLP,0.9424087877599059,0.006264208287551853,0.9425965806959431,0.00646972208158222,0.9424278207902219,0.006356399912895778,0.942376948724051,0.006267201458393066,0.9426443228688163,0.006258516725987511,0.9425965806959431,0.00646972208158222,53.0
PEMS04,WEEK,W2,4,1 2 3,1,SVC,0.47171439780306007,0.00621091170723055,0.4658354382700597,0.005510105437353814,0.46524791357936623,0.005410985608798992,0.46893394318493886,0.006221461947042529,0.4683526026164273,0.0050659572834395655,0.4658354382700597,0.005510105437353814,53.0
PEMS04,WEEK,W2,4,1 2 3,1,XGB,0.8176539819537073,0.0030123740793177923,0.815618649266758,0.0027081545776752713,0.8172618590540436,0.002786512466681208,0.8176368335232922,0.0029885897067475197,0.820553871527412,0.003123016471764293,0.815618649266758,0.0027081545776752713,53.0
