dataset,task,wavelet_type,largest_scale,layers,moments,model,seed,pca_variance,epochs,batch_size,lr,weight_decay,device,accuracy,balanced_accuracy,macro_f1,weighted_f1,macro_precision,macro_recall,n_pca
PEMS04,HOUR,W2,4,1 2 3,1,LR,42,0.99,100,512,0.001,0.0001,cuda,0.6932130247155748,0.6941319639145171,0.6942625572684392,0.6939806896556191,0.6976121692042306,0.6941319639145171,53
PEMS04,HOUR,W2,4,1 2 3,1,LR,43,0.99,100,512,0.001,0.0001,cuda,0.6834052569635151,0.6835452444262821,0.6836340741974372,0.6839088051326119,0.6874783190932171,0.6835452444262821,53
PEMS04,HOUR,W2,4,1 2 3,1,LR,44,0.99,100,512,0.001,0.0001,cuda,0.6814437034131032,0.6824255071543726,0.6816665948315458,0.6813189325254241,0.6849944720997171,0.6824255071543726,53
PEMS04,HOUR,W2,4,1 2 3,1,LR,45,0.99,100,512,0.001,0.0001,cuda,0.6881129854845037,0.6845245089178612,0.6852462279996206,0.6881332549136298,0.688928663944414,0.6845245089178612,53
PEMS04,HOUR,W2,4,1 2 3,1,LR,56,0.99,100,512,0.001,0.0001,cuda,0.675166732051785,0.6756355426721327,0.6761461985832917,0.6767237095666553,0.6865117653582242,0.6756355426721327,53
PEMS04,HOUR,W2,4,1 2 3,1,SVC,42,0.99,100,512,0.001,0.0001,cuda,0.6822283248332679,0.6821269505128856,0.6831440953767758,0.6834370641688398,0.687817374090756,0.6821269505128856,53
PEMS04,HOUR,W2,4,1 2 3,1,SVC,43,0.99,100,512,0.001,0.0001,cuda,0.6779129070223617,0.6775684821171238,0.6787822958959145,0.6788981975625373,0.6838138040696364,0.6775684821171238,53
PEMS04,HOUR,W2,4,1 2 3,1,SVC,44,0.99,100,512,0.001,0.0001,cuda,0.6822283248332679,0.6827925585434866,0.6824149298484574,0.6823392821536937,0.6864014465488708,0.6827925585434866,53
PEMS04,HOUR,W2,4,1 2 3,1,SVC,45,0.99,100,512,0.001,0.0001,cuda,0.6763436641820322,0.6736923919966814,0.6746638811232893,0.6770885375404581,0.680653700937624,0.6736923919966814,53
PEMS04,HOUR,W2,4,1 2 3,1,SVC,56,0.99,100,512,0.001,0.0001,cuda,0.6582973715182424,0.6589270552298094,0.6591832740427505,0.6595675945572759,0.671250258644659,0.6589270552298094,53
PEMS04,HOUR,W2,4,1 2 3,1,MLP,42,0.99,100,512,0.001,0.0001,cuda,0.8540604158493527,0.8551493435263238,0.855319525511535,0.8550514889179491,0.8590473788194197,0.8551493435263238,53
PEMS04,HOUR,W2,4,1 2 3,1,MLP,43,0.99,100,512,0.001,0.0001,cuda,0.8528834837191055,0.851988799303922,0.8515250496528849,0.8521134473895307,0.8563696101427842,0.851988799303922,53
PEMS04,HOUR,W2,4,1 2 3,1,MLP,44,0.99,100,512,0.001,0.0001,cuda,0.8622989407610828,0.8631119441362224,0.8624763260422009,0.862277124493617,0.8649770552835093,0.8631119441362224,53
PEMS04,HOUR,W2,4,1 2 3,1,MLP,45,0.99,100,512,0.001,0.0001,cuda,0.8532757944291879,0.8528650255963891,0.8520984440234369,0.8530750944085073,0.8538422679494571,0.8528650255963891,53
PEMS04,HOUR,W2,4,1 2 3,1,MLP,56,0.99,100,512,0.001,0.0001,cuda,0.8579835229501765,0.8583922696064641,0.8576696805317064,0.8574305971883442,0.8598067128958228,0.8583922696064641,53
PEMS04,HOUR,W2,4,1 2 3,1,XGB,42,0.99,100,512,0.001,0.0001,cuda,0.8109062377402904,0.8123804308711019,0.8122972787540933,0.811573140108613,0.8148489012840919,0.8123804308711019,53
PEMS04,HOUR,W2,4,1 2 3,1,XGB,43,0.99,100,512,0.001,0.0001,cuda,0.8073754413495489,0.8087592571002702,0.8079660805742882,0.8077387515568938,0.8104191267759395,0.8087592571002702,53
PEMS04,HOUR,W2,4,1 2 3,1,XGB,44,0.99,100,512,0.001,0.0001,cuda,0.8077677520596312,0.8070951267205647,0.8077542642761246,0.8084083615606901,0.8103616707020213,0.8070951267205647,53
PEMS04,HOUR,W2,4,1 2 3,1,XGB,45,0.99,100,512,0.001,0.0001,cuda,0.8022754021184778,0.8006155886551323,0.8015925022804898,0.8034613793277408,0.804230989031156,0.8006155886551323,53
PEMS04,HOUR,W2,4,1 2 3,1,XGB,56,0.99,100,512,0.001,0.0001,cuda,0.8069831306394665,0.8074804695204222,0.808463647011869,0.8082571836056719,0.8116410542911501,0.8074804695204222,53
PEMS04,DAY,W2,4,1 2 3,1,LR,42,0.99,100,512,0.001,0.0001,cuda,0.5515888583758337,0.5578443651693926,0.5508492488558924,0.546014554358646,0.5488932726460009,0.5578443651693926,53
PEMS04,DAY,W2,4,1 2 3,1,LR,43,0.99,100,512,0.001,0.0001,cuda,0.5562965868968223,0.5592148152835473,0.5538385814717234,0.5508199068115147,0.554852148110947,0.5592148152835473,53
PEMS04,DAY,W2,4,1 2 3,1,LR,44,0.99,100,512,0.001,0.0001,cuda,0.5441349548842683,0.5510802865034146,0.5440684490604276,0.5386300068555716,0.542331091904402,0.5510802865034146,53
PEMS04,DAY,W2,4,1 2 3,1,LR,45,0.99,100,512,0.001,0.0001,cuda,0.5500196155355042,0.5564654626031593,0.5481185707398095,0.5449437373472824,0.5479994477897242,0.5564654626031593,53
PEMS04,DAY,W2,4,1 2 3,1,LR,56,0.99,100,512,0.001,0.0001,cuda,0.5366810513927031,0.5398836514219405,0.5341203435831314,0.5316087272016756,0.5314962659389452,0.5398836514219405,53
PEMS04,DAY,W2,4,1 2 3,1,SVC,42,0.99,100,512,0.001,0.0001,cuda,0.5351118085523735,0.5406832319667982,0.5365244000814129,0.5318403662798307,0.5365455884764614,0.5406832319667982,53
PEMS04,DAY,W2,4,1 2 3,1,SVC,43,0.99,100,512,0.001,0.0001,cuda,0.5421734013338564,0.5444329418724202,0.5416292613206393,0.538901516715777,0.5434904505652481,0.5444329418724202,53
PEMS04,DAY,W2,4,1 2 3,1,SVC,44,0.99,100,512,0.001,0.0001,cuda,0.5323656335817968,0.5390907716415964,0.5349421639439039,0.5291309796804679,0.5337608180298633,0.5390907716415964,53
PEMS04,DAY,W2,4,1 2 3,1,SVC,45,0.99,100,512,0.001,0.0001,cuda,0.5347194978422911,0.5408159433130691,0.5357608754066502,0.5317195790283707,0.5354190415596174,0.5408159433130691,53
PEMS04,DAY,W2,4,1 2 3,1,SVC,56,0.99,100,512,0.001,0.0001,cuda,0.5194193801490781,0.5226897311728835,0.5196784022627716,0.5167498270113985,0.5187052745336678,0.5226897311728835,53
PEMS04,DAY,W2,4,1 2 3,1,MLP,42,0.99,100,512,0.001,0.0001,cuda,0.9380149078069832,0.9388902041594421,0.9388830293639581,0.9380794058703231,0.9393803169082063,0.9388902041594421,53
PEMS04,DAY,W2,4,1 2 3,1,MLP,43,0.99,100,512,0.001,0.0001,cuda,0.9313456257355825,0.9317424949176881,0.931555348417862,0.9313245758377113,0.9314695650207387,0.9317424949176881,53
PEMS04,DAY,W2,4,1 2 3,1,MLP,44,0.99,100,512,0.001,0.0001,cuda,0.9207532365633582,0.9217838578022802,0.922407080024095,0.9211197441714482,0.9241908094304738,0.9217838578022802,53
PEMS04,DAY,W2,4,1 2 3,1,MLP,45,0.99,100,512,0.001,0.0001,cuda,0.9282071400549236,0.9286515652483702,0.9285827040003427,0.928051863977812,0.9288580939853748,0.9286515652483702,53
PEMS04,DAY,W2,4,1 2 3,1,MLP,56,0.99,100,512,0.001,0.0001,cuda,0.926637897214594,0.9264616926553233,0.9276039038052682,0.9266900831363677,0.9295710359902003,0.9264616926553233,53
PEMS04,DAY,W2,4,1 2 3,1,XGB,42,0.99,100,512,0.001,0.0001,cuda,0.8277755982738328,0.8288802160949185,0.8280076301982808,0.8275943850254385,0.8288429526241118,0.8288802160949185,53
PEMS04,DAY,W2,4,1 2 3,1,XGB,43,0.99,100,512,0.001,0.0001,cuda,0.8434680266771283,0.8447455251135552,0.8436266702830547,0.8431229497717828,0.8434965848930908,0.8447455251135552,53
PEMS04,DAY,W2,4,1 2 3,1,XGB,44,0.99,100,512,0.001,0.0001,cuda,0.8301294625343272,0.8323612763604195,0.8311694068186597,0.8298841572414152,0.8324488110176421,0.8323612763604195,53
