dataset,task,wavelet_type,largest_scale,layers,moments,model,seed,pca_variance,epochs,batch_size,lr,weight_decay,device,accuracy,balanced_accuracy,macro_f1,weighted_f1,macro_precision,macro_recall,n_pca
PEMS08,HOUR,W2,4,1 2 3,1,LR,42,0.99,100,512,0.001,0.0001,cuda,0.7211646136618141,0.721984628292072,0.720019196633495,0.7210948752386652,0.7225799894079864,0.721984628292072,83
PEMS08,HOUR,W2,4,1 2 3,1,LR,43,0.99,100,512,0.001,0.0001,cuda,0.7338559163867114,0.7333896436542839,0.7326845154562355,0.7338566251441947,0.7352593086221475,0.7333896436542839,83
PEMS08,HOUR,W2,4,1 2 3,1,LR,44,0.99,100,512,0.001,0.0001,cuda,0.7263904441955954,0.7280728901466341,0.7258979747860455,0.7265365317272172,0.7311573646372139,0.7280728901466341,83
PEMS08,HOUR,W2,4,1 2 3,1,LR,45,0.99,100,512,0.001,0.0001,cuda,0.7084733109369168,0.7118688618025114,0.7111148764623408,0.7078952516312271,0.713327045738283,0.7118688618025114,83
PEMS08,HOUR,W2,4,1 2 3,1,LR,56,0.99,100,512,0.001,0.0001,cuda,0.7103396789846957,0.7115491678493404,0.7089511003018379,0.7089036020991358,0.7122592607905102,0.7115491678493404,83
PEMS08,HOUR,W2,4,1 2 3,1,SVC,42,0.99,100,512,0.001,0.0001,cuda,0.7159387831280328,0.7165076488051968,0.7148415763745527,0.7160232312975026,0.7175978927841954,0.7165076488051968,83
PEMS08,HOUR,W2,4,1 2 3,1,SVC,43,0.99,100,512,0.001,0.0001,cuda,0.7297499066815976,0.7295922840121163,0.7288803028347001,0.7298906853137707,0.7325210164110464,0.7295922840121163,83
PEMS08,HOUR,W2,4,1 2 3,1,SVC,44,0.99,100,512,0.001,0.0001,cuda,0.7297499066815976,0.7315088427002324,0.7293264915721792,0.7302512172617526,0.7348594475898397,0.7315088427002324,83
PEMS08,HOUR,W2,4,1 2 3,1,SVC,45,0.99,100,512,0.001,0.0001,cuda,0.7084733109369168,0.7111207173136783,0.7107951174939173,0.7077861667519281,0.7128959406447705,0.7111207173136783,83
PEMS08,HOUR,W2,4,1 2 3,1,SVC,56,0.99,100,512,0.001,0.0001,cuda,0.7148189622993655,0.7157291714425842,0.71325560112939,0.7133862268197073,0.7160009947782885,0.7157291714425842,83
PEMS08,HOUR,W2,4,1 2 3,1,MLP,42,0.99,100,512,0.001,0.0001,cuda,0.8857782754759238,0.8857962709725106,0.8846577628999871,0.8859461676754851,0.8856276851326571,0.8857962709725106,83
PEMS08,HOUR,W2,4,1 2 3,1,MLP,43,0.99,100,512,0.001,0.0001,cuda,0.8745800671892497,0.8728032376477376,0.8726155715321724,0.8741575576123859,0.8777932617530152,0.8728032376477376,83
PEMS08,HOUR,W2,4,1 2 3,1,MLP,44,0.99,100,512,0.001,0.0001,cuda,0.8924972004479284,0.8933975453959647,0.8925480589943807,0.8924834999495226,0.893060876433092,0.8933975453959647,83
PEMS08,HOUR,W2,4,1 2 3,1,MLP,45,0.99,100,512,0.001,0.0001,cuda,0.8812989921612542,0.8836168046007095,0.8828859103866685,0.8814893415004263,0.8840830906001308,0.8836168046007095,83
PEMS08,HOUR,W2,4,1 2 3,1,MLP,56,0.99,100,512,0.001,0.0001,cuda,0.8812989921612542,0.8821559740635969,0.8818749221369867,0.8808825174110193,0.8828756440941984,0.8821559740635969,83
PEMS08,HOUR,W2,4,1 2 3,1,XGB,42,0.99,100,512,0.001,0.0001,cuda,0.8312803284807764,0.8318485903098621,0.8312844419070117,0.8321336654870006,0.8342934144162785,0.8318485903098621,83
PEMS08,HOUR,W2,4,1 2 3,1,XGB,43,0.99,100,512,0.001,0.0001,cuda,0.8234415826801045,0.8230345918289933,0.8221992393308338,0.8242027520443926,0.8248807965854974,0.8230345918289933,83
PEMS08,HOUR,W2,4,1 2 3,1,XGB,44,0.99,100,512,0.001,0.0001,cuda,0.8268010451661068,0.8281469198560997,0.8268387641254504,0.8281836936650061,0.8309264219391528,0.8281469198560997,83
PEMS08,HOUR,W2,4,1 2 3,1,XGB,45,0.99,100,512,0.001,0.0001,cuda,0.8238148562896603,0.8258843136279609,0.8255151214012134,0.8243605740086906,0.8267188024668708,0.8258843136279609,83
