dataset,task,wavelet_type,largest_scale,layers,moments,model,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,macro_f1_mean,macro_f1_std,weighted_f1_mean,weighted_f1_std,macro_precision_mean,macro_precision_std,macro_recall_mean,macro_recall_std,n_pca_mean
PEMS08,DAY,W2,4,1 2 3,1,LR,0.6831653602090332,0.0036982354838375133,0.6833190206103736,0.0035363673328358426,0.6788939212952484,0.003957691261002806,0.6792187492895081,0.003945254195611968,0.6765529547608125,0.004177432654394872,0.6833190206103736,0.0035363673328358426,83.0
PEMS08,DAY,W2,4,1 2 3,1,MLP,0.9714072415080253,0.0024715110649117934,0.9712466954796553,0.0025271368268484314,0.9712832564035356,0.0024665381798206257,0.9713915294520079,0.002483212824457354,0.9714236481824653,0.0023721694989256325,0.9712466954796553,0.0025271368268484314,83.0
PEMS08,DAY,W2,4,1 2 3,1,SVC,0.6740574841358715,0.0019381493073157242,0.6740388270969984,0.0016982863493163623,0.6711336476591214,0.0009883816408243007,0.6715755465308062,0.002039513955155364,0.6696955081621703,0.0011405184198343974,0.6740388270969984,0.0016982863493163623,83.0
PEMS08,DAY,W2,4,1 2 3,1,XGB,0.913699141470698,0.0063364225976626914,0.9133522311079407,0.006419350957248112,0.9133663619169585,0.006623530200940664,0.9135216810907133,0.006406490972552554,0.9139046945897393,0.006731621965968917,0.9133522311079407,0.006419350957248112,83.0
PEMS08,HOUR,W2,4,1 2 3,1,LR,0.7200447928331467,0.009595382762558937,0.7213730383489685,0.008677541850692647,0.7197335327279909,0.008903392479625873,0.719657377168088,0.010049866532613888,0.7229165938392281,0.009229348780842559,0.7213730383489685,0.008677541850692647,83.0
PEMS08,HOUR,W2,4,1 2 3,1,MLP,0.883090705487122,0.005908580496426838,0.883553966536104,0.006625110975108738,0.8829164451900391,0.0063717167639899255,0.8829918168297679,0.006059223538351062,0.8846881116026187,0.004943198006470446,0.883553966536104,0.006625110975108738,83.0
PEMS08,HOUR,W2,4,1 2 3,1,SVC,0.719746173945502,0.008555704730337071,0.7208917328547616,0.008121177130253744,0.7194198178809479,0.008012319007650877,0.7194675054889322,0.009057922133771467,0.7227750584416281,0.009069775179471093,0.7208917328547616,0.008121177130253744,83.0
PEMS08,HOUR,W2,4,1 2 3,1,XGB,0.826054497946995,0.0028623052650512564,0.8270655986466329,0.002902269680772162,0.8264951495123546,0.0029151723783898795,0.8268908985600435,0.0029840015706584402,0.8290683404809165,0.0032896174045326846,0.8270655986466329,0.002902269680772162,83.0
PEMS08,WEEK,W2,4,1 2 3,1,LR,0.6662187383351996,0.006699819379226424,0.6581143605350002,0.007834830099614517,0.660317741266858,0.007816103241154117,0.6652037757583354,0.006897646151784931,0.6641347499644474,0.008182406706754,0.6581143605350002,0.007834830099614517,83.0
PEMS08,WEEK,W2,4,1 2 3,1,MLP,0.9779768570362075,0.0017666531640461646,0.9775496728494444,0.0019181209159127063,0.9777181891509592,0.0018933899471682651,0.9779692397352516,0.001768789679257519,0.977937284887755,0.0020638451825533573,0.9775496728494444,0.0019181209159127063,83.0
PEMS08,WEEK,W2,4,1 2 3,1,SVC,0.6610675625233295,0.00879215857883524,0.6536041138488907,0.010183307721411725,0.6554691344131003,0.010077425917705829,0.6603020499527115,0.008989872245743609,0.6586965449898925,0.01006948107126738,0.6536041138488907,0.010183307721411725,83.0
PEMS08,WEEK,W2,4,1 2 3,1,XGB,0.9020530048525568,0.005175462489716186,0.8984811527988436,0.005736659591398958,0.9016213705729422,0.004873181613883117,0.9020030745691269,0.005137978884062553,0.9057575319003892,0.0037953523640011774,0.8984811527988436,0.005736659591398958,83.0
