dataset,task,wavelet_type,largest_scale,layers,moments,model,seed,pca_variance,epochs,batch_size,lr,lr_values,weight_decay,cv_folds,no_grid_search,device,accuracy,balanced_accuracy,macro_f1,weighted_f1,macro_precision,macro_recall,best_cv_accuracy,best_params,n_pca
PEMS08,HOUR,W2,4,1 2 3,1,LR,42,0.99,100,512,0.001,None,0.0001,3,False,cuda,0.07092198581560284,0.08371913580246915,0.012790339808644876,0.011139221123332106,0.011182679184902818,0.08371913580246915,0.08638070764973316,"{'C': 10.0, 'lr': 0.001, 'weight_decay': 0.1}",1
PEMS08,HOUR,W2,4,1 2 3,1,LR,43,0.99,100,512,0.001,None,0.0001,3,False,cuda,0.07465472191116088,0.08333333333333333,0.01232009287231376,0.01097494435057904,0.006671914181994827,0.08333333333333333,0.0894116096725308,"{'C': 1.0, 'lr': 0.001, 'weight_decay': 1.0}",1
PEMS08,HOUR,W2,4,1 2 3,1,LR,44,0.99,100,512,0.001,None,0.0001,3,False,cuda,0.07017543859649122,0.08425925925925926,0.012794972042467512,0.010622447653099304,0.009008449159547278,0.08425925925925926,0.09198128747446795,"{'C': 1.0, 'lr': 0.001, 'weight_decay': 1.0}",1
PEMS08,HOUR,W2,4,1 2 3,1,LR,45,0.99,100,512,0.001,None,0.0001,3,False,cuda,0.0851063829787234,0.08378136200716846,0.015205387957810151,0.015456919398161273,0.01313023052359725,0.08378136200716846,0.09942676418264479,"{'C': 1.0, 'lr': 0.001, 'weight_decay': 1.0}",1
PEMS08,HOUR,W2,4,1 2 3,1,LR,56,0.99,100,512,0.001,None,0.0001,3,False,cuda,0.07764091078760732,0.08333333333333333,0.012491313250498617,0.011729737907692564,0.00677650258455727,0.08333333333333333,0.10146932858931279,"{'C': 1.0, 'lr': 0.001, 'weight_decay': 1.0}",1
PEMS08,HOUR,W2,4,1 2 3,1,MLP,42,0.99,100,512,0.001,None,0.0001,3,False,cuda,0.23030981709593132,0.23981292798807674,0.1691505990189218,0.16574811095128367,0.1398037482682814,0.23981292798807674,0.23113922382552543,"{'hidden_layer_sizes': (150, 50), 'activation': 'relu', 'alpha': 0.01, 'lr': 0.001, 'weight_decay': 0.01}",1
PEMS08,HOUR,W2,4,1 2 3,1,MLP,43,0.99,100,512,0.001,None,0.0001,3,False,cuda,0.20940649496080627,0.21245027781014822,0.155497912353472,0.15408334645542673,0.14394452243989891,0.21245027781014822,0.22494564143111287,"{'hidden_layer_sizes': (150, 50), 'activation': 'relu', 'alpha': 0.01, 'lr': 0.001, 'weight_decay': 0.01}",1
PEMS08,HOUR,W2,4,1 2 3,1,MLP,44,0.99,100,512,0.001,None,0.0001,3,False,cuda,0.1955953714072415,0.20912532314273036,0.14707500864549014,0.1405286163939281,0.1233308739180216,0.20912532314273036,0.2328523423601502,"{'hidden_layer_sizes': (150, 50), 'activation': 'relu', 'alpha': 0.01, 'lr': 0.001, 'weight_decay': 0.01}",1
PEMS08,HOUR,W2,4,1 2 3,1,MLP,45,0.99,100,512,0.001,None,0.0001,3,False,cuda,0.21799178798058977,0.21619425715715826,0.15313594541655492,0.15497480176155237,0.12939975480755891,0.21619425715715826,0.2226395203268103,"{'hidden_layer_sizes': (150, 50), 'activation': 'relu', 'alpha': 0.01, 'lr': 0.001, 'weight_decay': 0.01}",1
PEMS08,HOUR,W2,4,1 2 3,1,MLP,56,0.99,100,512,0.001,None,0.0001,3,False,cuda,0.23441582680104517,0.23540959072628906,0.16842154745170138,0.1697710805460362,0.1538935608282509,0.23540959072628906,0.22527508730315612,"{'hidden_layer_sizes': (150, 50), 'activation': 'relu', 'alpha': 0.01, 'lr': 0.001, 'weight_decay': 0.01}",1
PEMS08,HOUR,W2,4,1 2 3,1,XGB,42,0.99,100,512,0.001,None,0.0001,3,False,cuda,0.27547592385218367,0.2804068683887362,0.2330426672679714,0.23019594464127596,0.23203442259597531,0.2804068683887362,0.27245173617974566,"{'n_estimators': 50, 'learning_rate': 0.05, 'max_depth': 6}",1
