dataset,task,wavelet_type,largest_scale,layers,moments,model,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,macro_f1_mean,macro_f1_std,weighted_f1_mean,weighted_f1_std,macro_precision_mean,macro_precision_std,macro_recall_mean,macro_recall_std,n_pca_mean,best_cv_accuracy_mean
PEMS07,DAY,W2,4,1 2 3,1,LR,0.16797354747283894,0.00807788246125865,0.16968332248285778,0.0068897631656985245,0.08235750025699647,0.007230320937174159,0.08170293400053422,0.008523104379420464,0.07994863175666062,0.01979666343398322,0.16968332248285778,0.0068897631656985245,1.0,0.16948731441290651
PEMS07,DAY,W2,4,1 2 3,1,MLP,0.16953235710911668,0.007624587388014108,0.1713430400485088,0.006162166338050261,0.0836659757716808,0.006718848552667195,0.0829244471935118,0.008322600951593392,0.08590629194700669,0.022582445619706914,0.1713430400485088,0.006162166338050261,1.0,0.16923719664842635
PEMS07,DAY,W2,4,1 2 3,1,XGB,0.2379782711384034,0.0036638109456146035,0.23832115818223443,0.0028414647771806086,0.22740579881649517,0.0028382211730612937,0.2273365128984904,0.0031407616300629364,0.238625906512251,0.005777047253298362,0.23832115818223443,0.0028414647771806086,1.0,0.24308474524036225
PEMS07,HOUR,W2,4,1 2 3,1,LR,0.08233349078885215,0.0036178467905274648,0.08590631352150775,0.0011840635637260996,0.020005004132191216,0.004742361561217594,0.019187846407824744,0.0048250670972481875,0.019300627568605726,0.009730511451575283,0.08590631352150775,0.0011840635637260996,1.0,0.0868778288940227
PEMS07,HOUR,W2,4,1 2 3,1,MLP,0.2483703353802551,0.011042269206479865,0.24777515324136914,0.007475706933523832,0.18104508014493867,0.006383514531947513,0.18186284645502035,0.00857732190256132,0.1610202346633425,0.010807729818995067,0.24777515324136914,0.007475706933523832,1.0,0.23740723160546554
PEMS07,HOUR,W2,4,1 2 3,1,XGB,0.275484175720359,0.005586321212402557,0.2750973210982862,0.005970666081825525,0.2383930831122692,0.0055171847738391755,0.2387158610100076,0.005658274223891654,0.23023093051588567,0.008554434397932223,0.2750973210982862,0.005970666081825525,1.0,0.27699867502839826
PEMS07,WEEK,W2,4,1 2 3,1,LR,0.2873405762871989,0.007356796347258124,0.2498377452949992,0.0008580447424248819,0.1366706562243864,0.030933611062397195,0.15689498823899867,0.03561758984507585,0.10011000125139262,0.03469661595148144,0.2498377452949992,0.0008580447424248819,1.0,0.2864027090866095
PEMS07,WEEK,W2,4,1 2 3,1,MLP,0.27850732168162495,0.0050355249773212755,0.25,0.0,0.10891287361042759,0.001539967571479255,0.12136314892153952,0.003911262865411717,0.06962683042040624,0.0012588812443303189,0.25,0.0,1.0,0.2869862445707452
PEMS07,WEEK,W2,4,1 2 3,1,XGB,0.28044402456306095,0.004551908061085171,0.24808066917002475,0.002681275523101644,0.1880739968215528,0.003445949035376275,0.2114768212622251,0.0040509019061114706,0.2262108944587396,0.030692086844909407,0.24808066917002475,0.002681275523101644,1.0,0.2819092719216096
