dataset,task,wavelet_type,largest_scale,layers,moments,model,seed,pca_variance,epochs,batch_size,lr,lr_values,weight_decay,cv_folds,no_grid_search,device,accuracy,balanced_accuracy,macro_f1,weighted_f1,macro_precision,macro_recall,best_cv_accuracy,best_params,n_pca
PEMS03,HOUR,W2,4,1 2 3,1,LR,42,0.99,100,512,0.001,None,0.0001,3,False,cuda,0.07985757884028484,0.08304398148148148,0.012883634743706398,0.012570476998880881,0.007002085812132636,0.08304398148148148,0.09521458109841269,"{'C': 1.0, 'lr': 0.001, 'weight_decay': 1.0}",1
PEMS03,HOUR,W2,4,1 2 3,1,LR,43,0.99,100,512,0.001,None,0.0001,3,False,cuda,0.08799593082400814,0.08830845771144279,0.02607753657828459,0.02506223128348228,0.018407899891118944,0.08830845771144279,0.08578747344166143,"{'C': 10.0, 'lr': 0.001, 'weight_decay': 0.1}",1
PEMS03,HOUR,W2,4,1 2 3,1,LR,44,0.99,100,512,0.001,None,0.0001,3,False,cuda,0.0849440488301119,0.08516497403651337,0.022455837375853268,0.02250046192660312,0.031841126987284245,0.08516497403651337,0.08708939350110012,"{'C': 10.0, 'lr': 0.001, 'weight_decay': 0.1}",1
PEMS03,HOUR,W2,4,1 2 3,1,LR,45,0.99,100,512,0.001,None,0.0001,3,False,cuda,0.07807731434384538,0.08333333333333333,0.013211496042558715,0.012512298803283695,0.007195015012035961,0.08333333333333333,0.09189238647358766,"{'C': 0.1, 'lr': 0.001, 'weight_decay': 10.0}",1
PEMS03,HOUR,W2,4,1 2 3,1,LR,56,0.99,100,512,0.001,None,0.0001,3,False,cuda,0.08621566632756866,0.08626635161975209,0.023591041736716167,0.02406526511778227,0.03194187728833998,0.08626635161975209,0.08758309975295342,"{'C': 10.0, 'lr': 0.001, 'weight_decay': 0.1}",1
PEMS03,HOUR,W2,4,1 2 3,1,MLP,42,0.99,100,512,0.001,None,0.0001,3,False,cuda,0.25457782299084436,0.25588196939890134,0.18539704705305093,0.1872927355495292,0.1573385887745384,0.25588196939890134,0.2497758444486158,"{'hidden_layer_sizes': (150, 50), 'activation': 'relu', 'alpha': 0.01, 'lr': 0.001, 'weight_decay': 0.01}",1
PEMS03,HOUR,W2,4,1 2 3,1,MLP,43,0.99,100,512,0.001,None,0.0001,3,False,cuda,0.24364191251271616,0.24602544042456934,0.16570621348525214,0.16359840301726855,0.14956337649916415,0.24602544042456934,0.2395856279526268,"{'hidden_layer_sizes': (150, 50), 'activation': 'relu', 'alpha': 0.01, 'lr': 0.001, 'weight_decay': 0.01}",1
PEMS03,HOUR,W2,4,1 2 3,1,MLP,44,0.99,100,512,0.001,None,0.0001,3,False,cuda,0.23830111902339776,0.23711572944508771,0.1636194864732713,0.16297985553806568,0.13646813891749335,0.23711572944508771,0.2406180910157928,"{'hidden_layer_sizes': (150, 50), 'activation': 'relu', 'alpha': 0.01, 'lr': 0.001, 'weight_decay': 0.01}",1
PEMS03,HOUR,W2,4,1 2 3,1,MLP,45,0.99,100,512,0.001,None,0.0001,3,False,cuda,0.24008138351983724,0.24318859222559874,0.17095358426128868,0.17042695285882606,0.1512714655459628,0.24318859222559874,0.24358026202716032,"{'hidden_layer_sizes': (150, 50), 'activation': 'relu', 'alpha': 0.01, 'lr': 0.001, 'weight_decay': 0.01}",1
PEMS03,HOUR,W2,4,1 2 3,1,MLP,56,0.99,100,512,0.001,None,0.0001,3,False,cuda,0.24160732451678535,0.24729940597290354,0.16896019649371322,0.16553553497131585,0.13801036090118196,0.24729940597290354,0.23936084065359586,"{'hidden_layer_sizes': (150, 50), 'activation': 'relu', 'alpha': 0.01, 'lr': 0.001, 'weight_decay': 0.01}",1
