dataset,task,wavelet_type,largest_scale,layers,moments,model,seed,pca_variance,epochs,batch_size,lr,weight_decay,device,accuracy,balanced_accuracy,macro_f1,weighted_f1,macro_precision,macro_recall,n_pca
PEMS03,HOUR,W2,4,1 2 3,1,LR,42,0.99,100,512,0.001,0.0001,cuda,0.20218718209562564,0.20595365936563034,0.13177336295062694,0.13426716795938518,0.1318965255079851,0.20595365936563034,1
PEMS03,HOUR,W2,4,1 2 3,1,LR,43,0.99,100,512,0.001,0.0001,cuda,0.18591047812817904,0.19094687544725308,0.11969978076528416,0.11578438694402152,0.09585688028712554,0.19094687544725308,1
PEMS03,HOUR,W2,4,1 2 3,1,LR,44,0.99,100,512,0.001,0.0001,cuda,0.1889623601220753,0.18649194833871516,0.11446875521816952,0.11368583055596274,0.09704374466910248,0.18649194833871516,1
PEMS03,HOUR,W2,4,1 2 3,1,LR,45,0.99,100,512,0.001,0.0001,cuda,0.16022380467955238,0.16517384880361027,0.09100189673160101,0.08934604940045474,0.07023847974983537,0.16517384880361027,1
PEMS03,HOUR,W2,4,1 2 3,1,LR,56,0.99,100,512,0.001,0.0001,cuda,0.19277721261444558,0.19480699711273475,0.12394773966358293,0.12183713042341218,0.11384815325984221,0.19480699711273475,1
PEMS03,HOUR,W2,4,1 2 3,1,SVC,42,0.99,100,512,0.001,0.0001,cuda,0.17980671414038657,0.18112422238852713,0.10234468238603618,0.1012604616824468,0.08272252146389565,0.18112422238852713,1
PEMS03,HOUR,W2,4,1 2 3,1,SVC,43,0.99,100,512,0.001,0.0001,cuda,0.16429298067141404,0.16673389738405545,0.08876523459597481,0.08866352789708927,0.06579844204966512,0.16673389738405545,1
PEMS03,HOUR,W2,4,1 2 3,1,SVC,44,0.99,100,512,0.001,0.0001,cuda,0.16632756866734486,0.17200609487953036,0.09197362877234234,0.08904029905880802,0.06905698649879927,0.17200609487953036,1
PEMS03,HOUR,W2,4,1 2 3,1,SVC,45,0.99,100,512,0.001,0.0001,cuda,0.15081383519837233,0.15071462728222593,0.08027474851011983,0.08086487685906091,0.09113114349963831,0.15071462728222593,1
PEMS03,HOUR,W2,4,1 2 3,1,SVC,56,0.99,100,512,0.001,0.0001,cuda,0.17395727365208546,0.17468845364167898,0.08734911652323511,0.08672818996669,0.07175516194490981,0.17468845364167898,1
PEMS03,HOUR,W2,4,1 2 3,1,MLP,42,0.99,100,512,0.001,0.0001,cuda,0.2706002034587996,0.26498262414642887,0.20255767796170235,0.2074972153959879,0.202386925449607,0.26498262414642887,1
PEMS03,HOUR,W2,4,1 2 3,1,MLP,43,0.99,100,512,0.001,0.0001,cuda,0.26703967446592064,0.2716834431327191,0.20678737299500818,0.20488213689485124,0.20512064948237407,0.2716834431327191,1
PEMS03,HOUR,W2,4,1 2 3,1,MLP,44,0.99,100,512,0.001,0.0001,cuda,0.26220752797558494,0.26508079200256773,0.20898989766797235,0.20666500627193057,0.1828389813099495,0.26508079200256773,1
PEMS03,HOUR,W2,4,1 2 3,1,MLP,45,0.99,100,512,0.001,0.0001,cuda,0.2606815869786368,0.2588147904522308,0.2067339768198789,0.20881262952257623,0.19672990460142267,0.2588147904522308,1
PEMS03,HOUR,W2,4,1 2 3,1,MLP,56,0.99,100,512,0.001,0.0001,cuda,0.2774669379450661,0.2796659437559805,0.22625150045477085,0.22457482764222497,0.20111997029378478,0.2796659437559805,1
PEMS03,HOUR,W2,4,1 2 3,1,XGB,42,0.99,100,512,0.001,0.0001,cuda,0.28814852492370296,0.28296157226019597,0.2535111773201977,0.2575576499003138,0.26300473588751494,0.28296157226019597,1
PEMS03,HOUR,W2,4,1 2 3,1,XGB,43,0.99,100,512,0.001,0.0001,cuda,0.2777212614445575,0.2812229105945076,0.24607676498635947,0.24433266833550038,0.24549643427668463,0.2812229105945076,1
PEMS03,HOUR,W2,4,1 2 3,1,XGB,44,0.99,100,512,0.001,0.0001,cuda,0.28585961342828076,0.28841046782296736,0.2522995456875173,0.2505261451999603,0.2429577777407609,0.28841046782296736,1
PEMS03,HOUR,W2,4,1 2 3,1,XGB,45,0.99,100,512,0.001,0.0001,cuda,0.2850966429298067,0.283321726481302,0.25138856418559063,0.25278922643241264,0.26682658950790006,0.283321726481302,1
PEMS03,HOUR,W2,4,1 2 3,1,XGB,56,0.99,100,512,0.001,0.0001,cuda,0.28102746693794506,0.2852584222781946,0.24821045771681552,0.24597932865824795,0.25988706773019027,0.2852584222781946,1
