dataset,task,wavelet_type,largest_scale,layers,moments,model,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,macro_f1_mean,macro_f1_std,weighted_f1_mean,weighted_f1_std,macro_precision_mean,macro_precision_std,macro_recall_mean,macro_recall_std,n_pca_mean,best_cv_accuracy_mean
PEMS03,DAY,W2,4,1 2 3,1,LR,0.16083418107833164,0.0043802746981914525,0.16193818576635383,0.004028434886381561,0.07821727517916341,0.005987975195489582,0.07755680764768598,0.006485883998842859,0.0623562018040205,0.013278815980783728,0.16193818576635383,0.004028434886381561,1.0,0.16739987963544836
PEMS03,DAY,W2,4,1 2 3,1,MLP,0.16556459816887079,0.004085040285912773,0.16682289475604234,0.0033483216219802616,0.07901867874404178,0.0032131932549828673,0.07833095860655923,0.003832875987620164,0.08551868510230244,0.023105176640459187,0.16682289475604234,0.0033483216219802616,1.0,0.1712247132424886
PEMS03,DAY,W2,4,1 2 3,1,XGB,0.21709053916581894,0.0032672404583421635,0.21740024834860955,0.00229941311909606,0.19267269689508548,0.0021399750547316204,0.19233672646346006,0.0019350168047499886,0.20784571267354685,0.0033045633089814398,0.21740024834860955,0.00229941311909606,1.0,0.2176422162191082
PEMS03,HOUR,W2,4,1 2 3,1,LR,0.08341810783316378,0.0038029655427301596,0.08522341963650461,0.0019458139602060317,0.019643909295423825,0.005512814278090881,0.01934214682600645,0.005612566313808926,0.019277600998182355,0.011096482473680324,0.08522341963650461,0.0019458139602060317,1.0,0.08951338685354307
PEMS03,HOUR,W2,4,1 2 3,1,MLP,0.2436419125127162,0.005743433260750875,0.24590222749341212,0.006101293337482884,0.17092730555331526,0.007666911370061353,0.16996669638700107,0.009048864747187944,0.14653038612766817,0.008029118978799722,0.24590222749341212,0.006101293337482884,1.0,0.24258413321955832
PEMS03,HOUR,W2,4,1 2 3,1,XGB,0.2964394710071211,0.0037398527862974114,0.2966684057759555,0.0014596406177099812,0.26017485805958035,0.002770829572224523,0.2602999353252621,0.004292177258265423,0.2591165055081261,0.006489696863053409,0.2966684057759555,0.0014596406177099812,1.0,0.2899891949993395
PEMS03,WEEK,W2,4,1 2 3,1,LR,0.3071719226856562,0.01039856607306049,0.25,0.0,0.11747084681949238,0.003016683136367419,0.1444604580933428,0.008730887660866783,0.07679298067141405,0.0025996415182651224,0.25,0.0,1.0,0.3077841647767135
PEMS03,WEEK,W2,4,1 2 3,1,MLP,0.3071719226856562,0.01039856607306049,0.25,0.0,0.11747084681949238,0.003016683136367419,0.1444604580933428,0.008730887660866783,0.07679298067141405,0.0025996415182651224,0.25,0.0,1.0,0.3077841647767135
PEMS03,WEEK,W2,4,1 2 3,1,XGB,0.3023906408952187,0.0034310115878006258,0.25379372764438424,0.0028852276316221016,0.16444976018304075,0.010417030199979999,0.18690365721374452,0.013721396989693296,0.2603104531069194,0.01146495177501817,0.25379372764438424,0.0028852276316221016,1.0,0.3032501548386278
